company_id,company_name,tanggal_pembukaan_instansi,rekening_induk,total_trx,total_amount,tx_month,tx_year,fee_bjbs_total_amount,fee_bjbs_total_rek_ia,fee_bjbs_per_tx,fee_institusi_total_amount,fee_institusi_total_rek_ia,fee_institusi_per_tx,fee_3rd_party_total_amount,fee_3rd_party_total_rek_ia,fee_3rd_party_per_tx
228,YAYASAN GEMA BUDI ASSHOFARI (GISPI),10/5/2020 2:02:11 am,5190102001884,85,109554266,MAY      ,2023,1018000,519194260070002360,500,0,N/A,0,1329500,0080102033620,1000
228,YAYASAN GEMA BUDI ASSHOFARI (GISPI),10/5/2020 2:02:11 am,5190102001884,85,109554266,MAY      ,2023,1018000,519194260070002360,500,0,N/A,0,1537500,5190102001884,1000
233,STHG Tasikmalaya S2,10/21/2020 2:59:56 am,0020102111169,2,11379500,MAY      ,2023,174000,002194260070001360,2000,0,N/A,0,190500,0080102033620,2500
236,YAYASAN PENDIDIKAN CIKAL CENDEKIA UNGGUL,11/3/2020 3:15:36 am,5240101000688,308,198591500,MAY      ,2023,2542500,524194260070002360,500,0,N/A,0,5050500,0080102033620,1000
240,SD Smart Auladi,11/4/2020 4:14:30 am,0030102002101,295,540148200,MAY      ,2023,0,N/A,0,0,N/A,0,1000,0080102033620,500
247,Universitas Cipasung Tasikmalaya,11/18/2020 4:06:20 am,5160102003333,2,700000,MAY      ,2023,1617500,516194260070001360,4500,0,N/A,0,4151500,0080102033620,2500
252,INSTITUT AGAMA ISLAM SAHID BOGOR (INAIS),12/1/2020 10:00:01 am,5360102000282,155,135753984,MAY      ,2023,6697500,536194260070001360,1000,0,N/A,0,8391000,0080102033620,2500
254,STAI Darul Falah,12/7/2020 1:28:18 pm,5490102001020,53,70071000,MAY      ,2023,1946000,549194260070001360,2000,0,N/A,0,2432500,0080102033620,2500
257,SMK Global Mulia,12/15/2020 9:04:07 am,5300101000769,415,381786330,MAY      ,2023,5356500,530194260070002360,500,5316500,5300101000769,500,10593000,0080102033620,1000
258,SD Islam Insan Taqwa,12/15/2020 9:45:01 am,5410201016150,204,214260700,MAY      ,2023,500,541194260070002360,500,0,N/A,0,1000,0080102033620,1000
259,STEBI Global Mulia,12/15/2020 2:33:30 pm,5300101000771,253,140928001,MAY      ,2023,9791500,530194260070001360,2000,0,N/A,0,11385500,0080102033620,2500
261,UNIVERSITAS INSAN CENDIKIA MANDIRI (uicm) Bandung,12/22/2020 8:35:23 am,7070102000054,111,197649000,MAY      ,2023,4148000,707194260070001360,2000,0,N/A,0,4789000,0080102033620,2500
263,Yayasan Khalifa Insan Madani Sejahtera Satu,1/12/2021 11:13:55 am,5240102001001,225,793324940,MAY      ,2023,500,524194260070002360,500,0,N/A,0,1000,0080102033620,1000
265,Yayasan Al - Muhajirin,1/25/2021 9:26:32 am,5410102000166,147,85120000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
268,UIN Sunan Gunung Djati S1,2/1/2021 3:01:02 pm,7070109000032,49,117171825,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
269,YPI AR ROHMAN CIBINONG BOGOR,2/2/2021 9:32:12 am,0040102002143,696,1172161008,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
273,SIT Fitrah Hanniah,2/4/2021 10:56:45 am,5300102000196,887,828939500,MAY      ,2023,4800,530194260070002360,200,0,N/A,0,24000,0080102033620,1000
276,DIP SD Khalifah Serang,2/17/2021 1:24:54 pm,0050206036926,53,144105000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
277,STIT INSAN KAMIL BOGOR,2/22/2021 2:19:51 pm,0040102002234,7,6922500,MAY      ,2023,437500,004194260070001360,2000,0,N/A,0,539000,0080102033620,2500
279,STIE Bisnis Internasional Indonesia,3/9/2021 4:16:04 pm,5300102001272,2,307000,MAY      ,2023,268000,530194260070001360,1000,0,N/A,0,418000,0080102033620,2500
281,SMK INFOKOM BOGOR,3/15/2021 10:40:38 am,5260201006281,182,69541012,MAY      ,2023,5640500,526194260070002360,500,8750500,5260201006281,1000,7829000,0080102033620,1000
290,YAYASAN IPWIJA,4/7/2021 10:29:09 am,5360102000363,953,928435015,MAY      ,2023,21290000,536194260070004360,1000,0,N/A,0,0,N/A,0
291,NURUL FIKRI BINA GENERASI (NFBG),4/8/2021 9:29:06 am,5050102002092,433,2123428900,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
293,CV. HAITEK,4/27/2021 9:26:32 am,0080102033620,2,2352000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
294,PT. CITRA NUSANTARA GEMILANG,4/29/2021 11:28:27 am,0040102002349,46,1527667595,MAY      ,2023,2158000,004194260070004360,2000,0,N/A,0,0,N/A,0
297,SDIT Bina Lestari,5/11/2021 11:27:42 am,5140102000401,134,182458500,MAY      ,2023,715500,514194260070002360,500,0,N/A,0,1407000,0080102033620,1000
299,SDIT AL BARKAH DEPOK,5/21/2021 9:30:10 am,5050102000605,53,58321000,MAY      ,2023,372500,505194260070002360,500,0,N/A,0,635500,0080102033620,1000
300,Yayasan Amal Mulia Depok,5/21/2021 10:33:44 am,5050102000851,440,428679500,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
303,DUKhalifah2021,6/10/2021 8:46:16 am,0050206036941,4,5690000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
313,Yayasan Insan Madani Sejahtera,6/22/2021 2:54:45 pm,5240102000900,141,364706750,MAY      ,2023,500,524194260070002360,500,0,N/A,0,1000,0080102033620,1000
315,AKADEMI KEPERAWATAN SAIFUDDIN ZUHRI,6/25/2021 5:12:35 pm,7020102000511,113,145481000,MAY      ,2023,2380000,702194260070001360,2000,1652000,7020102000511,1500,2514000,0080102033620,2500
320,YAYASAN PESANTREN QURAN EL TAHFIDH,7/29/2021 10:19:52 am,5370102000804,140,252247002,MAY      ,2023,1631000,537194260070003360,1000,0,N/A,0,0,N/A,0
